country,security_name,event_type,ticker_event,ticker_mapping,status,score,query_used,candidate_name,exchange,reason,ticker,price_fetch_status,rows,price_fetch_reason,diagnosis
India,SBI LIFE INSURANCE CO,inclusion,SBILIFE.NS,SBILIFE.NS,mapped_yahoo_search,1.1731,SBI LIFE INSURANCE CO,SBI LIFE INSURANCE CO LTD,NSI,,SBILIFE.NS,cached,65.0,,mapped_and_priced
India,SIEMENS INDIA,inclusion,,,no_country_candidate,,,,,No Yahoo quote matched the expected country suffix/exchange with sufficient name similarity.,,,,,name_search_unmapped
Indonesia,SURYA CITRA MEDIA,deletion,SCMA.JK,SCMA.JK,mapped_manual_alias,1.0,manual_alias,,,,SCMA.JK,cached,70.0,,mapped_and_priced
Indonesia,ACE HARDWARE INDONESIA,inclusion,ACES.JK,ACES.JK,mapped_manual_alias,1.0,manual_alias,,,,ACES.JK,downloaded,372.0,,mapped_and_priced
Indonesia,XL AXIATA TBK,inclusion,EXCL.JK,EXCL.JK,mapped_manual_alias,1.0,manual_alias,,,,EXCL.JK,downloaded,702.0,,mapped_and_priced
Korea,CELLTRION PHARM,deletion,068760.KQ,068760.KQ,mapped_yahoo_search,1.03,CELLTRION PHARM,Celltrionph,KOE,,068760.KQ,downloaded,1660.0,,mapped_and_priced
Korea,HANMI SCIENCE CO,deletion,008930.KS,008930.KS,mapped_yahoo_search,1.1731,HANMI SCIENCE CO,Hanmi Science,KSC,,008930.KS,downloaded,66.0,,mapped_and_priced
Korea,SILLAJEN,deletion,215600.KQ,215600.KQ,mapped_manual_alias,1.0,manual_alias,,,,215600.KQ,downloaded,547.0,,mapped_and_priced
Korea,KMW CO,inclusion,032500.KQ,032500.KQ,mapped_yahoo_search,0.75,KMW,KMW,KOE,,032500.KQ,downloaded,503.0,,mapped_and_priced
USA,AFFILIATED MANAGERS GRP,deletion,AFS,AFS,existing_repo_mapping,1.0,existing_repo_mapping,,,,AFS,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,ALKERMES,deletion,ALKS,ALKS,existing_repo_mapping,1.0,existing_repo_mapping,,,,ALKS,downloaded,69.0,,mapped_and_priced
USA,BLOCK (H&R),deletion,HRB,HRB,existing_repo_mapping,1.0,existing_repo_mapping,,,,HRB,downloaded,69.0,,mapped_and_priced
USA,BRIGHTHOUSE FINANCIAL,deletion,BHFAN,BHFAN,existing_repo_mapping,1.0,existing_repo_mapping,,,,BHFAN,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,CIMAREX ENERGY CO,deletion,XEC,XEC,existing_repo_mapping,1.0,existing_repo_mapping,,,,XEC,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,CIT GROUP,deletion,CIT,CIT,existing_repo_mapping,1.0,existing_repo_mapping,,,,CIT,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,FLUOR CORP,deletion,FLR,FLR,existing_repo_mapping,1.0,existing_repo_mapping,,,,FLR,downloaded,69.0,,mapped_and_priced
USA,HELMERICH & PAYNE,deletion,,,unsupported_country,,,,,No country suffix rules configured.,,,,,unsupported_country
USA,L BRANDS,deletion,BBWI,BBWI,existing_repo_mapping,1.0,existing_repo_mapping,,,,BBWI,downloaded,1327.0,,mapped_and_priced
USA,MACERICH CO,deletion,MAC,MAC,existing_repo_mapping,1.0,existing_repo_mapping,,,,MAC,downloaded,69.0,,mapped_and_priced
