return_basis,country,event_type,strategy,n_trades,calendar_days,active_days,average_active_positions,cumulative_gross_return,cumulative_net_return,average_daily_net_return,volatility_daily_net,sharpe_daily_net,hit_rate_daily_net,max_drawdown_net,turnover
raw,India,inclusion,announce_d-5_to_d+0,112,2221,146,0.294912201710941,0.5686159116940301,0.4921303998107629,0.0001876282626124,0.003863560224811,0.7709227131159575,0.0324178298063935,-0.1670428181692693,224.0
raw,Korea,deletion,announce_d+0_to_d+5,78,2091,130,0.2156862745098039,0.6754007926750973,0.6001249379179117,0.0002367776956196,0.0049071429204453,0.7659710451957803,0.0301291248206599,-0.0994495884002742,156.0
raw,India,deletion,announce_d+0_to_d+3,32,2152,64,0.0562267657992565,0.3543434252885846,0.30914129327691,0.0001291871124688,0.0028381815062326,0.7225689507942028,0.0153345724907063,-0.0815024529758056,64.0
raw,Indonesia,inclusion,effective_d-10_to_d-1,19,2028,131,0.0882642998027613,0.6615582881419693,0.616005280380534,0.0002528399459781,0.0056998163349281,0.7041822886065305,0.0330374753451676,-0.1200547998120497,38.0
raw,Indonesia,deletion,announce_to_effective_legacy,30,2032,239,0.1924212598425196,1.455536729174887,1.3697336387718018,0.0004876083774416,0.011125706575962,0.695734960342865,0.0570866141732283,-0.2873388037731431,60.0
raw,Indonesia,deletion,buy_hold_announce_to_effective,30,2032,239,0.1924212598425196,1.455536729174887,1.3697336387718018,0.0004876083774416,0.011125706575962,0.695734960342865,0.0570866141732283,-0.2873388037731431,60.0
raw,USA,inclusion,effective_d-3_to_d+0,170,2219,105,0.270392068499324,0.7538170211322281,0.6583723983213665,0.0002450002838511,0.0058701875090318,0.6625442419477461,0.021180712032447,-0.1132871477760765,340.0
raw,Korea,deletion,announce_d-1_to_d+1,78,2088,66,0.1063218390804597,0.3358446504268984,0.2759914401744578,0.0001209631906188,0.0029249148898077,0.6565083748977407,0.0138888888888888,-0.0967384302790237,156.0
raw,Korea,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,54,2088,66,0.0732758620689655,0.3290592284841529,0.2694883073349228,0.0001185036312785,0.0029212573391943,0.6439647756077381,0.0129310344827586,-0.1154161118578619,108.0
raw,Indonesia,deletion,effective_d-5_to_d-1,30,2023,85,0.0662382600098863,0.5094750000320558,0.4561457023271289,0.0001974782456952,0.0048740684349092,0.6431731533102011,0.0192782995551161,-0.1112117811490658,60.0
raw,India,inclusion,announce_d+0_to_d+3,112,2219,94,0.1861198738170347,0.3574475265937222,0.2913285832221202,0.000119532139013,0.0029506609653044,0.643080958253206,0.0189274447949526,-0.0663586076702827,224.0
raw,India,inclusion,announce_d+0_to_d+5,112,2221,142,0.2755515533543449,0.4102148573171986,0.3413636763600809,0.000139205777797,0.0037486142518827,0.5895040316767961,0.0301665916253939,-0.0935334799465638,224.0
raw,USA,inclusion,announce_to_effective_legacy,170,2229,378,1.0071781067743382,1.1570688349766436,1.0396788114732192,0.0003692277346592,0.0099731728232259,0.5877075111629758,0.0897263346792283,-0.2425748340458777,340.0
raw,USA,inclusion,buy_hold_announce_to_effective,170,2229,378,1.0071781067743382,1.1570688349766436,1.0396788114732192,0.0003692277346592,0.0099731728232259,0.5877075111629758,0.0897263346792283,-0.2425748340458777,340.0
raw,India,deletion,announce_d-1_to_d+1,32,2151,51,0.0446304044630404,0.2427637425511837,0.2013833426233593,8.811993548237525e-05,0.0023835611360365,0.5868784265070575,0.0111576011157601,-0.1104086233153833,64.0
raw,Indonesia,inclusion,effective_d-3_to_d+0,19,2022,53,0.0356083086053412,0.8790893633716643,0.827820628416218,0.0003355171414773,0.0092728589993245,0.5743826690428507,0.0128585558852621,-0.1308260958831714,38.0
raw,India,deletion,announce_d-5_to_d+0,32,2154,100,0.0882079851439183,0.3217738512585615,0.2776418409193155,0.0001194116588138,0.0033650582705185,0.5633190170243998,0.0241411327762302,-0.1359931050572292,64.0
raw,Indonesia,inclusion,announce_d+0_to_d+5,19,2024,78,0.0528656126482213,0.5095241640338748,0.4678562698971524,0.0002071726126211,0.0060163808863208,0.5466348176580068,0.017292490118577,-0.2101197280040879,38.0
raw,USA,inclusion,confirmed_flow_momentum_top20_effective_d-5_to_d-1,51,2220,127,0.1013513513513513,0.6212190048864565,0.5333005623938993,0.0002122029882382,0.0062805314662357,0.5363587499192498,0.027027027027027,-0.1305361451390533,102.0
raw,India,inclusion,effective_d+1_to_d+5,112,2220,122,0.2490990990990991,0.3919672695647778,0.3241233086228157,0.0001344980335629,0.0040047336020658,0.5331416029038172,0.0252252252252252,-0.0970383026589858,224.0
