country,event_type,strategy,n_trades,cumulative_gross_return,cumulative_net_return,average_event_gross_return,average_event_net_return,hit_rate_net,volatility_event_net,sharpe_event_net,sharpe_annualized_net,max_drawdown_net,average_holding_days,turnover,transaction_cost_bps
Korea,deletion,buy_hold_announce_to_effective,78,9.267868956950258,7.817079016194771,0.03503974535427217,0.033039745354272176,0.7435897435897436,0.09583856214530576,0.3447437504767541,1.2899130005154995,-0.42252451242588396,18.0,156.0,10.0
Indonesia,inclusion,announce_d-3_to_d+0,19,0.19410262772058307,0.1498771435261843,0.010868920185783249,0.008868920185783247,0.5789473684210527,0.05647312635898679,0.15704673634332803,1.2383990889607182,-0.19744721901372708,4.052631578947368,38.0,10.0
Korea,deletion,effective_d-5_to_d-1,78,0.9511346547434105,0.6710698281758529,0.009402208680215627,0.0074022086802156255,0.5512820512820513,0.040054817534704856,0.18480195731267782,1.2323753522581355,-0.22480086041735525,5.666666666666667,156.0,10.0
India,inclusion,announce_d-1_to_d+1,112,0.949982997420789,0.5600538036682012,0.006931926381526485,0.004931926381526483,0.5178571428571429,0.04412284562517483,0.1117771601456392,1.1470832979243528,-0.3391081245449865,2.392857142857143,224.0,10.0
USA,inclusion,effective_d-10_to_d-1,170,29.158299699141885,20.573783966156746,0.024315402834321646,0.022315402834321645,0.6823529411764706,0.090238915363598,0.247292454085985,1.117728642884241,-0.7100330931110539,12.33529411764706,340.0,10.0
USA,inclusion,announce_to_effective_legacy,170,127.55188032390618,91.15519347074654,0.03534102782136986,0.033341027821369856,0.6352941176470588,0.1150326078577212,0.28983979796935416,1.0855460040499447,-0.7843366671307607,17.96470588235294,340.0,10.0
USA,inclusion,buy_hold_announce_to_effective,170,127.55188032390615,91.15519347074647,0.03534102782136986,0.033341027821369856,0.6352941176470588,0.1150326078577212,0.28983979796935416,1.0855460040499447,-0.807065614437504,17.96470588235294,340.0,10.0
USA,inclusion,announce_d+0_to_d+5,170,5.81916792135915,3.867486295998898,0.013279982424761258,0.011279982424761257,0.5764705882352941,0.06266703520414282,0.17999866098684614,1.0827249740006077,-0.4933852212431816,6.964705882352941,340.0,10.0
Indonesia,inclusion,announce_d-5_to_d+0,19,0.2453190706478967,0.19927177377190852,0.013691913870423672,0.01169191387042367,0.5263157894736842,0.0672568545502332,0.1738397364642015,1.0758980473157826,-0.22533910303521032,6.578947368421052,38.0,10.0
Korea,inclusion,announce_d-5_to_d+0,53,1.1037686939703533,0.8941593543314523,0.017652434273103448,0.015652434273103446,0.4528301886792453,0.0904031694055248,0.17314032656190126,1.0634934182583184,-0.28951611472501926,6.679245283018868,106.0,10.0
India,deletion,effective_d-3_to_d+0,32,0.28127563195395267,0.20224898005563885,0.009268461110074722,0.0072684611100747205,0.5,0.05627653194465485,0.12915616614795822,1.0587655005105805,-0.27486161435195244,3.75,64.0,10.0
Korea,inclusion,announce_d-3_to_d+0,53,0.590590698696599,0.4315248701526473,0.010667490369796721,0.00866749036979672,0.49056603773584906,0.06400200174141066,0.13542530130254768,1.055180302090645,-0.22482940056201484,4.150943396226415,106.0,10.0
Korea,inclusion,announce_to_effective_legacy,53,3.3912997509172795,2.9584450880094284,0.0346114068313582,0.0326114068313582,0.5283018867924528,0.11992508925848479,0.27193147850044996,1.0121833107089486,-0.29657060626755816,18.18867924528302,106.0,10.0
Korea,inclusion,buy_hold_announce_to_effective,53,3.3912997509172786,2.958445088009429,0.0346114068313582,0.0326114068313582,0.5283018867924528,0.11992508925848479,0.27193147850044996,1.0121833107089486,-0.3353767663793128,18.18867924528302,106.0,10.0
Korea,deletion,announce_d+0_to_d+5,78,1.3992650286405373,1.0550695398336387,0.014121505983998278,0.012121505983998276,0.5512820512820513,0.07610897283174299,0.15926513698714279,0.9591105053738217,-0.3850156630801119,6.948717948717949,156.0,10.0
India,inclusion,buy_hold_announce_to_effective,112,8.451619313479668,6.581339885331812,0.02371599792982441,0.02171599792982441,0.5714285714285714,0.08595511020068552,0.2526434772653135,0.9500295269357434,-0.3644089753635913,17.821428571428573,224.0,10.0
India,inclusion,announce_to_effective_legacy,112,8.451619313479673,6.581339885331808,0.023715997929824408,0.021715997929824406,0.5714285714285714,0.08595511020068551,0.2526434772653135,0.9500295269357434,-0.3775931541449059,17.821428571428573,224.0,10.0
USA,deletion,effective_d-10_to_d-1,176,17.70395709598008,12.210345748346587,0.020435955206597214,0.018435955206597212,0.5681818181818182,0.08891316878646723,0.20734785924538102,0.9249135159469689,-0.6720157630214552,12.664772727272727,352.0,10.0
Indonesia,deletion,announce_d+0_to_d+5,30,0.3903614674302811,0.3099052696570914,0.014300918671016637,0.012300918671016636,0.6333333333333333,0.08018748913359777,0.1534019683609556,0.9204118101657336,-0.3832922316412948,7.0,60.0,10.0
Korea,inclusion,announce_d+0_to_d+5,53,0.8896761130050863,0.7007693153811836,0.017296558712667037,0.015296558712667033,0.5283018867924528,0.1112254876372891,0.1375274591966703,0.8273979521058666,-0.3894430236627998,6.962264150943396,106.0,10.0
India,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,23,0.19326065681677718,0.1398454332358472,0.010074215099748238,0.008074215099748237,0.4782608695652174,0.072193749491599,0.11184091637583961,0.8009873982705238,-0.18457953657819726,4.913043478260869,46.0,10.0
Korea,inclusion,announce_d-1_to_d+1,53,0.2387368116770996,0.11435698084695911,0.0053767025418436885,0.003376702541843687,0.4339622641509434,0.05296257441682951,0.06375638984744478,0.6754425906763051,-0.27564155717351135,2.2452830188679247,106.0,10.0
Indonesia,deletion,announce_d-5_to_d+0,30,0.2107080988066945,0.14043673230402032,0.00826653935222719,0.006266539352227189,0.5333333333333333,0.0613374713563824,0.10216494442389712,0.6189124095794749,-0.30056378888729696,6.866666666666666,60.0,10.0
Korea,inclusion,effective_d-10_to_d-1,53,0.6994985895976973,0.529616419669775,0.012799964848614046,0.010799964848614044,0.4716981132075472,0.07812059942854634,0.13824733716351373,0.6149546555584785,-0.25896685884472503,12.735849056603774,106.0,10.0
USA,deletion,announce_to_effective_legacy,176,7.57149138599274,5.041794129062174,0.017239951528307314,0.015239951528307311,0.5625,0.10294948889477654,0.14803328983870806,0.5566199087698163,-0.7299604092827483,17.823863636363637,352.0,10.0
USA,deletion,buy_hold_announce_to_effective,176,7.571491385992729,5.041794129062178,0.017239951528307314,0.015239951528307311,0.5625,0.10294948889477654,0.14803328983870806,0.5566199087698163,-0.744178522113981,17.823863636363637,352.0,10.0
India,inclusion,effective_d+1_to_d+5,112,0.7464824110991364,0.39673733191882965,0.0065483259659547275,0.004548325965954726,0.5714285714285714,0.0559063433934428,0.08135616979893903,0.5543039662666596,-0.5881992557494187,5.428571428571429,224.0,10.0
Indonesia,deletion,effective_d-10_to_d-1,30,0.23704965049583704,0.16521263374215223,0.010252333615068365,0.008252333615068363,0.6,0.08022644118229381,0.10286301490448856,0.4588052182583706,-0.5321740548890743,12.666666666666666,60.0,10.0
Korea,deletion,announce_d+0_to_d+3,78,0.2821601039291486,0.09702527829045371,0.004970009505850614,0.002970009505850612,0.6025641025641025,0.05943257924268048,0.04997275137131775,0.41869889747799877,-0.6011655211283959,3.58974358974359,156.0,10.0
Indonesia,inclusion,effective_d-1_to_d+1,19,0.007447165530800159,-0.030369738009476732,0.006792346139184943,0.004792346139184942,0.42105263157894735,0.11961790891894715,0.04006378461633388,0.40013673546545697,-0.36156885718270504,2.526315789473684,38.0,10.0
USA,deletion,effective_d-3_to_d+0,176,0.709983424932036,0.2025156214915751,0.005621993233711979,0.0036219932337119773,0.5056818181818182,0.07893779267486518,0.04588414637625492,0.3816719520405701,-0.7028079440267844,3.6420454545454546,352.0,10.0
Korea,deletion,effective_d-10_to_d-1,78,0.17400775773734778,0.003935076114323088,0.005833861984437503,0.003833861984437501,0.6410256410256411,0.08352746318236665,0.04589941844716364,0.2050390776190642,-0.4930543389774147,12.628205128205128,156.0,10.0
India,deletion,buy_hold_announce_to_effective,32,-0.1315927589667556,-0.1867595018469369,0.01103411501663663,0.009034115016636628,0.53125,0.16589869576170846,0.054455612053833986,0.2041089069694506,-0.6880853909690272,17.9375,64.0,10.0
India,deletion,announce_to_effective_legacy,32,-0.1315927589667556,-0.1867595018469369,0.011034115016636627,0.009034115016636625,0.53125,0.16589869576170843,0.05445561205383397,0.20410890696945055,-0.7271191904261501,17.9375,64.0,10.0
USA,deletion,effective_d-5_to_d-1,176,0.21829593982235918,-0.14394318016448626,0.003938895131856627,0.0019388951318566252,0.4772727272727273,0.07993892813179276,0.024254705150162016,0.16383982347346498,-0.7284975918441567,5.5227272727272725,352.0,10.0
