event_id,event_month,country,event_type,change_type,security_name,ticker,side,announce_date,effective_date,volatility_20d,dollar_adv20,entry_target_date,exit_target_date,entry_date,exit_date,entry_px,exit_px,security_return,gross_return,net_return,transaction_cost_bps,holding_days,turnover,benchmark_ticker,beta_lookback_days,estimated_beta,benchmark_return,beta_hedged_gross_return,beta_hedged_net_return,beta_hedge_turnover,beta_hedge_round_trip_cost,beta_hedge_available,basket_size,low_vol_rank_pct,liquidity_rank_pct,tradable_filter
1174,2020-05,India,deletion,DEMOTION,M & M FINANCIAL SVCS,NAHARCAP.NS,-1.0,2020-05-12,2020-05-29,0.03802607151332541,107482.72446575164,2020-05-11,2020-05-13,2020-05-11,2020-05-13,52.54829406738281,52.3554573059082,-0.0036697054566097176,0.0036697054566097176,0.0016697054566097175,10.0,2,2.0,^NSEI,60,0.6698486173244437,0.01562360445964095,0.01413515530152422,0.010795458066875332,3.339697234648887,0.003339697234648887,True,4,0.5,0.25,True
1190,2020-05,India,deletion,DEMOTION,SHRIRAM TRANSPORT FIN,SHRIPISTON.NS,-1.0,2020-05-12,2020-05-29,0.020858255194896987,116308.39453430175,2020-05-11,2020-05-13,2020-05-11,2020-05-13,265.24249267578125,256.1457214355469,-0.034296055464061004,0.034296055464061004,0.032296055464061,10.0,2,2.0,^NSEI,60,0.23197415121664106,0.01562360445964095,0.037920327847530744,0.03545637954509746,2.4639483024332822,0.002463948302433282,True,4,1.0,0.5,True
1196,2020-05,India,deletion,DEMOTION,TATA POWER CO,TATAPOWER.NS,-1.0,2020-05-12,2020-05-29,0.02339662931702954,442916756.0710827,2020-05-11,2020-05-13,2020-05-11,2020-05-13,25.251352310180664,28.02622413635254,0.10989002854524821,-0.10989002854524821,-0.11189002854524821,10.0,2,2.0,^NSEI,60,0.8507914276847669,0.01562360445964095,-0.09659759980144819,-0.10029918265681773,3.7015828553695336,0.0037015828553695336,True,4,0.75,0.75,True
1205,2020-05,Indonesia,deletion,DEMOTION,BANK TABUNGAN NEGARA,BBTN.JK,-1.0,2020-05-12,2020-05-29,0.03964096897675389,30382719780.390797,2020-05-11,2020-05-13,2020-05-11,2020-05-13,660.1828002929688,598.7705078125,-0.09302316336205041,0.09302316336205041,0.09102316336205041,10.0,2,2.0,^JKSE,60,1.291845403415054,-0.018267768051551392,0.06942403117400137,0.06484034036717126,4.583690806830107,0.004583690806830107,True,6,0.6666666666666666,0.8333333333333334,True
1207,2020-05,Indonesia,deletion,DEMOTION,BUKIT ASAM,PTBA.JK,-1.0,2020-05-12,2020-05-29,0.03686074945205938,17111014272.26654,2020-05-11,2020-05-13,2020-05-11,2020-05-13,756.877197265625,703.3419799804688,-0.07073170849718191,0.07073170849718191,0.06873170849718191,10.0,2,2.0,^JKSE,60,1.5530937494051118,-0.018267768051551392,0.042360152120735045,0.037253964621924825,5.106187498810224,0.005106187498810223,True,6,0.8333333333333334,0.5,True
1209,2020-05,Indonesia,deletion,DEMOTION,BUMI SERPONG DAMAI,BSDE.JK,-1.0,2020-05-12,2020-05-29,0.03356625766820913,15504998200.0,2020-05-11,2020-05-13,2020-05-11,2020-05-13,665.0,605.0,-0.09022556390977443,0.09022556390977443,0.08822556390977443,10.0,2,2.0,^JKSE,60,1.1704022354623347,-0.018267768051551392,0.06884492734533126,0.0645041228744066,4.340804470924669,0.004340804470924669,True,6,1.0,0.16666666666666666,True
1212,2020-05,Indonesia,deletion,DEMOTION,JASA MARGA (PERSERO),JSMR.JK,-1.0,2020-05-12,2020-05-29,0.05051010170906361,49655619630.18555,2020-05-11,2020-05-13,2020-05-11,2020-05-13,3356.515625,3029.69677734375,-0.09736848689815047,0.09736848689815047,0.09536848689815047,10.0,2,2.0,^JKSE,60,1.350674845341416,-0.018267768051551392,0.07269467211038844,0.0679933224197056,4.701349690682832,0.004701349690682833,True,6,0.16666666666666666,1.0,True
1216,2020-05,Indonesia,deletion,DEMOTION,PABRIK K TJIWI KIMIA,TKIM.JK,-1.0,2020-05-12,2020-05-29,0.04132948768206186,15743070175.178223,2020-05-11,2020-05-13,2020-05-11,2020-05-13,4685.5888671875,4432.83984375,-0.053941784181592345,0.053941784181592345,0.05194178418159234,10.0,2,2.0,^JKSE,60,1.7361811773728155,-0.018267768051551392,0.022225629137876346,0.016753266783130716,5.472362354745631,0.005472362354745631,True,6,0.5,0.3333333333333333,True
1218,2020-05,Indonesia,deletion,DEMOTION,PAKUWON JATI,PWON.JK,-1.0,2020-05-12,2020-05-29,0.04188371078107583,20518746415.260773,2020-05-11,2020-05-13,2020-05-11,2020-05-13,314.35089111328125,291.6477966308594,-0.07222214132117877,0.07222214132117877,0.07022214132117877,10.0,2,2.0,^JKSE,60,1.6971953567009483,-0.018267768051551392,0.041218170206795815,0.035823779493393916,5.394390713401897,0.005394390713401897,True,6,0.3333333333333333,0.6666666666666666,True
1243,2020-05,Korea,deletion,DEMOTION,HANWHA LIFE INSURANCE,088350.KS,-1.0,2020-05-12,2020-05-29,0.05765887864450285,30006964351.016804,2020-05-11,2020-05-13,2020-05-11,2020-05-13,1595.4794921875,1520.3980712890625,-0.04705884423214757,0.04705884423214757,0.045058844232147566,10.0,2,2.0,^KS11,60,1.3178946281154087,0.0025937891226233134,0.05047718498331701,0.0458413957270862,4.635789256230817,0.0046357892562308165,True,5,0.4,0.8,True
1245,2020-05,Korea,deletion,DEMOTION,HDC HYUNDAI DEV (NEW),089470.KS,-1.0,2020-05-12,2020-05-29,0.0340682410610977,491131019.1880859,2020-05-11,2020-05-13,2020-05-11,2020-05-13,3256.484130859375,3176.853271484375,-0.024453016251605564,0.024453016251605564,0.022453016251605562,10.0,2,2.0,^KS11,60,1.0547267114407468,0.0025937891226233134,0.02718875492308083,0.023079301500199337,4.109453422881494,0.004109453422881494,True,5,0.8,0.2,True
